incident_id,timestamp,severity,category,status,description
6001,2024-11-10 08:48:00,Critical,Phishing,Resolved,Security incident 1 detected by monitoring systems
6002,2024-02-01 08:03:00,Low,Phishing,Open,Security incident 2 detected by monitoring systems
6003,2024-09-11 11:10:00,Low,Phishing,Resolved,Security incident 3 detected by monitoring systems
6004,2024-12-13 16:47:00,High,Intrusion,Open,Security incident 4 detected by monitoring systems
6005,2024-04-28 17:02:00,Medium,Intrusion,In Progress,Security incident 5 detected by monitoring systems
6006,2024-03-16 11:31:00,Low,DDoS,Resolved,Security incident 6 detected by monitoring systems
6007,2024-03-03 13:12:00,High,Phishing,Open,Security incident 7 detected by monitoring systems
6008,2024-11-08 17:40:00,High,Phishing,Open,Security incident 8 detected by monitoring systems
6009,2024-06-10 09:50:00,Low,DDoS,Open,Security incident 9 detected by monitoring systems
6010,2024-03-09 10:55:00,Critical,Phishing,Open,Security incident 10 detected by monitoring systems
6011,2024-08-27 16:20:00,High,Intrusion,In Progress,Security incident 11 detected by monitoring systems
6012,2024-04-17 08:19:00,High,Malware,In Progress,Security incident 12 detected by monitoring systems
6013,2024-10-13 08:47:00,Low,Policy Violation,Open,Security incident 13 detected by monitoring systems
6014,2024-08-27 11:05:00,Low,Policy Violation,Resolved,Security incident 14 detected by monitoring systems
6015,2024-01-25 09:55:00,Critical,Intrusion,In Progress,Security incident 15 detected by monitoring systems
6016,2024-04-18 10:24:00,High,Malware,Resolved,Security incident 16 detected by monitoring systems
6017,2024-04-29 17:39:00,Low,DDoS,In Progress,Security incident 17 detected by monitoring systems
6018,2024-07-06 17:21:00,High,Policy Violation,In Progress,Security incident 18 detected by monitoring systems
6019,2024-09-08 16:27:00,Critical,DDoS,Open,Security incident 19 detected by monitoring systems
6020,2024-11-28 16:48:00,Low,Policy Violation,Open,Security incident 20 detected by monitoring systems
6021,2024-10-19 13:12:00,Medium,Malware,In Progress,Security incident 21 detected by monitoring systems
6022,2024-12-13 09:59:00,Medium,Malware,Open,Security incident 22 detected by monitoring systems
6023,2024-12-08 17:00:00,Medium,DDoS,In Progress,Security incident 23 detected by monitoring systems
6024,2024-01-09 13:19:00,Critical,Intrusion,Open,Security incident 24 detected by monitoring systems
6025,2024-06-22 18:00:00,Critical,Intrusion,Resolved,Security incident 25 detected by monitoring systems
6026,2024-10-08 13:58:00,High,Malware,Open,Security incident 26 detected by monitoring systems
6027,2024-07-17 10:47:00,Medium,Intrusion,Resolved,Security incident 27 detected by monitoring systems
6028,2024-11-16 12:03:00,Medium,Phishing,In Progress,Security incident 28 detected by monitoring systems
6029,2024-06-01 10:58:00,High,Policy Violation,In Progress,Security incident 29 detected by monitoring systems
6030,2024-03-19 13:56:00,Critical,DDoS,In Progress,Security incident 30 detected by monitoring systems
6031,2024-01-11 13:36:00,High,Intrusion,In Progress,Security incident 31 detected by monitoring systems
6032,2024-10-20 12:30:00,Critical,Phishing,In Progress,Security incident 32 detected by monitoring systems
6033,2024-03-13 08:04:00,Medium,Phishing,Resolved,Security incident 33 detected by monitoring systems
6034,2024-06-20 11:49:00,Critical,Policy Violation,Open,Security incident 34 detected by monitoring systems
6035,2024-10-03 12:18:00,Medium,Phishing,Open,Security incident 35 detected by monitoring systems
6036,2024-07-12 13:13:00,Low,Malware,In Progress,Security incident 36 detected by monitoring systems
6037,2024-07-19 11:28:00,Medium,DDoS,Resolved,Security incident 37 detected by monitoring systems
6038,2024-04-11 15:38:00,Low,Malware,Open,Security incident 38 detected by monitoring systems
6039,2024-08-15 10:21:00,Critical,Intrusion,Open,Security incident 39 detected by monitoring systems
6040,2024-08-11 15:30:00,High,Intrusion,Open,Security incident 40 detected by monitoring systems
